Gazette Title,Gazette Volume,Gazette Release Number,Gazette Published Date,Claim Title Deed,Claim ERF Number / Address,Claim Reference ID,Claim Date
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T10935/84,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T1647/2017,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T33742/87,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T4621/2017,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T23108/97,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T31125/86,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T31132/86,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T23109/97,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T5393/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T16040/86,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T35116/1986,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9106/2008,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9106/2008,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T8701/2015,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,688,18848,1998-04-30,T1361/65,,KRK6/2/3/B/15/378/1110/7(S466),1997-04-01
Suid-Afrikaanse Staatskoerant,688,18848,1998-04-30,T451/67,,KRK6/2/3/B/15/378/1110/7(S466),1997-04-01
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9986/2009,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T1828/2001,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,687,18848,1998-04-30,T3675/32,,KRK6/2/3/A/25/80/753/1264(P64),1995-08-22
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,687,18848,1998-04-30,T28877/68,,KRK6/2/3/A/25/80/753/1264(P64),1995-08-22
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T48853/2022,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T48855/2022,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T18728/1990,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T18728/1990,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T48855/2002,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T48511/1999,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T16435/2000,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T12101/2011,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T48855/2002,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T10399/1990,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T3318/1926,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T3318/1926,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T3318/1926,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T3319/1926,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T10468/1993,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T7444/1951,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T834/1956,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T19560/1971,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T6586/1956,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T28265/1998,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T9487/1968,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T6891/1951,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T12615/1966,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T6702/1951,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T10525/1948,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T6583/1956,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T6587/1956,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T21799/2013,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T34836/1998,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T5110/1994,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T5043/1994,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T39559/1999,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T8971/1984,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T33035/2013,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,664,43834,2020-10-23,T10858/2003,,KRN6/2/2/E/3/0/0/31,1998-12-31
Suid-Afrikaanse Staatskoerant,665,43872,2020-11-06,,Portion 15 of farm Groenfontein 526 JR,Z 0067,1998-12-31
Suid-Afrikaanse Staatskoerant,665,43872,2020-11-06,,T58466/1999,KRP 2039,2020-11-06
Suid-Afrikaanse Staatskoerant,645,42337,2019-03-29,T38774/1967BP,,AD015,2019-03-06
Suid-Afrikaanse Staatskoerant,645,42337,2019-03-29,T36900/1967BP,,AD015,2019-03-16
Suid-Afrikaanse Staatskoerant,645,42337,2019-03-29,T878/1968BP,,AD015,2019-03-06
Suid-Afrikaanse Staatskoerant,646,42380,2019-04-05,T26819/1994,,KRP2552,2019-04-05
Suid-Afrikaanse Staatskoerant,646,42380,2019-04-05,T32886/1987,,KRP2552,2019-04-05
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9106/2008,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T110631/2007,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,LG3725/83,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T1828/2001,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,688,18848,1998-04-30,T1297/72,,KRK6/2/3/B/15/378/1110/7(S466),1997-04-01
Suid-Afrikaanse Staatskoerant,688,18848,1998-04-30,T1298/72,,KRK6/2/3/B/15/378/1110/7(S466),1997-04-01
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,687,18848,1998-04-30,T597/40,,KRK6/2/3/A/25/80/753/1264(P64),1995-08-22
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,687,18848,1998-04-30,T3466/28,,KRK6/2/3/A/25/80/753/1264(P64),1995-08-22
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T136259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,687,18848,1998-04-30,T6842/94,,KRK6/2/3/A/25/80/753/1264(P64),1995-08-22
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,687,18848,1998-04-30,T70643/88,,KRK6/2/3/A/25/80/753/1264(P64),1995-08-22
Suid-Afrikaanse Staatskoerant,687,18848,1998-04-30,T94098/95,,KRK6/2/3/A/25/80/753/1264(P64),1995-08-22
Suid-Afrikaanse Staatskoerant,686,18848,1998-04-30,T10732/45,,KRK6/2/3/A/31/68/2195/13(I62),1996-11-28
Suid-Afrikaanse Staatskoerant,686,18848,1998-04-30,T2211/1964,,KRK6/2/3/A/31/68/2195/13(I62),1996-11-28
Suid-Afrikaanse Staatskoerant,686,18848,1998-04-30,T25361/65,,KRK6/2/3/A/31/68/2195/13(I62),1996-11-28
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,TLG2512/1997,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,LG2512/1997,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,685,18848,1998-04-30,T4453/64,,KRK6/2/3/A/9/27/12314/184(M237),1996-08-22
Suid-Afrikaanse Staatskoerant,685,18848,1998-04-30,T4454/64,,KRK6/2/3/A/9/27/12314/184(M237),1996-08-22
Suid-Afrikaanse Staatskoerant,685,18848,1998-04-30,T29002/74,,KRK6/2/3/A/9/27/12314/184(M237),1996-08-22
Suid-Afrikaanse Staatskoerant,684,18848,1998-04-30,T17345/50,,KRK6/2/3/A/18/212/2011/2(B97),1996-04-22
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,LG2518/1997,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,684,18848,1998-04-30,T14276/66,,KRK6/2/3/A/18/212/2011/2(B97),1996-04-22
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,LG2519/1997,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,684,18848,1998-04-30,T48132/95,,KRK6/2/3/A/18/212/2011/2(B97),1996-04-22
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-06
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9903/2010,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9904/2010,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,SG2067/2009,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T3892/2009,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T5395/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2017,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T1647/2017,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T4621/2017,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,694,18848,1998-04-30,T1979/48,,KRK6/2/3/A/2/15/1953/1664(B82),1996-02-28
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,KRP: 10045,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,694,18848,1998-04-30,T29678/75,,KRK6/2/3/A/2/15/1953/1664(B82),1996-02-28
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,694,18848,1998-04-30,T10459/68,,KRK6/2/3/A/2/15/1953/1664(B82),1996-02-28
Suid-Afrikaanse Staatskoerant,694,18848,1998-04-30,T1599/18,,KRK6/2/3/A/2/15/1953/1664(B82),1996-02-28
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T5393/2013,,KRP: 10045,2020-02-04
Suid-Afrikaanse Staatskoerant,694,18848,1998-04-30,T10459/68,,KRK6/2/3/A/2/15/1953/1664(B82),1996-02-28
Suid-Afrikaanse Staatskoerant,694,18848,1998-04-30,T72290/94,,KRK6/2/3/A/2/15/1953/1664(B82),1996-02-28
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9106/2008,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9106/2008,,KRP: 10045,2020-02-07
